Org,Technologies,Slots,Ideas Page,Contact
3DTK,"c/c++,  cmake, opencv, ros, boost",2,http://slam6d.sourceforge.net/wishlist.html,https://sourceforge.net/p/slam6d/discussion/
52° North Initiative for Geospatial Open Source Software GmbH,"javascript,  java, spring, r, big data",1,https://wiki.52north.org/Projects/GSoC2018ProjectIdeas,https://wiki.52north.org/Projects/GSoC#Contact
AerospaceResearch.net,"python, c/c++, vhdl, boinc,  java",6,https://aerospaceresearch.net/?page_id=612,https://aerospaceresearch.net/?page_id=612
aimacode," python,  java,  javascript, ai, jupyter",5,https://github.com/aimacode/aima-gsoc,https://gitter.im/aimacode/Lobby
Amahi,"ruby on rails, golang, swift, javascript, android",5,https://wiki.amahi.org/index.php/Google_Summer_of_Code_Ideas,http://talk.amahi.org/
AOSSIE - Australian Open Source Software Innovation and Education,"scala, isabelle proof assistant, browser extension, javascript/html5/css3, android/ios",13,http://aossie.org/#ideas,http://gitter.im/GSoC-AOSSIE/
Apache Software Foundation,"c, java, erlang",23,http://s.apache.org/gsoc2018ideas,https://wiki.apache.org/general/IRC
Apertium,"c++, python, xml, fsts",11,http://wiki.apertium.org/wiki/Ideas_for_Google_Summer_of_Code,http://wiki.apertium.org/wiki/IRC
Apertus Association,"fpga, embedded, linux, c/c++, vhdl",4,https://lab.apertus.org/project/view/20/,https://www.apertus.org/irc-chat
appleseedhq,"c/c++, qt",3,https://github.com/appleseedhq/appleseed/wiki/List-of-Project-Ideas-for-GSoC-2018,https://slackin-naplrzjfoz.now.sh/
ArduPilot,"drones, python, linux, c/c++, robotics",5,http://ardupilot.org/dev/docs/gsoc-ideas-list.html,https://gitter.im/ArduPilot/GSoC
BeagleBoard.org Foundation,"linux, gcc, real-time, physical computing, iot",3,https://bbb.io/gsocideas,https://beagleboard.org/chat
Beam Community,"erlang, xmpp",6,https://github.com/beamcommunity/beamcommunity.github.com/wiki,http://beamcommunity.github.io
BeeWare Project,"python, ios, android, javascript,  java",2,https://github.com/pybee/pybee.github.io/wiki/GSoC-Project-Ideas,https://gitter.im/pybee
Berkman Klein Center for Internet & Society at Harvard University,"ruby on rails, meteor.js, elasticsearch, javascript, elk",2,https://cyber.harvard.edu/gsoc,https://cyber.harvard.edu/gsoc/Main_Page#Contact_Us
Blender Foundation,"c, c++, python, opengl, opencl",5,https://wiki.blender.org/index.php/Dev:Ref/GoogleSummerOfCode/2018/Ideas,https://www.blender.org/get-involved/developers/
